gauge_id,gauge_lat,gauge_lon,GPP_MODIS_gCperm2yr,NPP_MODIS_gCperm2yr,GPP_gCperm2yr,C4_fraction,C4_fraction_un
8103900,30.91157,-98.03697,974.7347826,495.5565217,1443.9617,52.76321087,3.998085545
1013500,47.23739,-68.58264,1027.673913,615.9086957,1247.6278,,
1022500,44.60797,-67.93524,1289.626087,815.6043478,1603.1294,,
1030500,45.50097,-68.30596,1302.978261,775.6608696,1675.2593,0.45516315,
1031500,45.17501,-69.3147,1249.882609,703.0913043,1639.073,0.090405414,
1047000,44.8692,-69.9551,1280.347826,723.826087,1722.1786,0.525469262,
1052500,44.87739,-71.05749,1147.752174,686.1782609,1628.5771,0.189246812,
1054200,44.39044,-70.97964,1215.678261,707.7826087,1780.6455,0.136825615,
1055000,44.64275,-70.58878,1525.447826,958.7086957,1792.3221,0.01179254,
1057000,44.30399,-70.53968,1598.5,989.0043478,1701.3115,0.136825615,
1073000,43.1487,-70.96506,1489.834783,784.0826087,1779.792,0.203406487,
1078000,43.56646,-71.74786,1326.265217,745.7043478,1778.381,0.125249455,
1118300,41.47482,-71.83424,1880.152174,1112.895652,2061.0344,1.926782414,
1121000,41.84371,-72.16897,1612.617391,935.9521739,1988.3313,4.442611886,
1123000,41.67177,-72.0523,1803.778261,1059.217391,2009.2495,4.442611886,
1134500,44.51172,-71.83731,1223.673913,697.7086957,1607.0793,0.256717775,
1137500,44.26867,-71.63036,1144.634783,688.2173913,1660.4564,0.410427096,
1139000,44.15034,-72.06509,1193.652174,703.0869565,1639.3938,0.29146055,
1139800,44.09284,-72.33565,1231.686957,702.5782609,1892.401,0.29146055,
1142500,43.93451,-72.65788,1129.543478,672.6043478,1669.805,0.182852053,
1144000,43.71424,-72.41815,1301.882609,690.4173913,1800.0907,0.209238052,
1162500,42.68259,-72.11508,1312.117391,700.2130435,1858.5134,0.746173149,
1169000,42.63842,-72.72509,1300.43913,690.0043478,1909.0247,0.251802768,
1170100,42.70342,-72.67065,1340.534783,707.573913,1979.7216,0.251802768,
1181000,42.23731,-72.89565,1601.36087,943.7478261,1940.0155,0.373566013,
1187300,42.03732,-72.93899,1618.730435,944.7,1945.3593,0.373566013,
1195100,41.30593,-72.5312,1784.421739,1059.782609,2059.889,0.94328107,
1333000,42.70897,-73.19677,1148.730435,693.3086957,1918.8207,7.515420294,
1350000,42.31953,-74.43654,1500.06087,944.1565217,1796.5835,1.18779718,
1350080,42.37703,-74.41292,1545.873913,966.5869565,1574.1766,1.18779718,
